          0.013	  0.028	 -0.530	  0.003	  0.269	 -0.130	  0.271	  0.006	  0.046	  0.558	 -3.646	 -3.515	 -3.727	 -3.541	 -3.185	 -3.158	 -2.922	 -3.035	 -3.337	 -0.122	 -0.118	 -0.013	  0.071	  0.011	 -0.030	  0.012	  0.081	 -0.070	  0.764	  0.880	  0.755	  0.524	  0.800	  0.732	  0.819	  0.879	  0.684	 -0.048
          0.014	  0.138	 -0.436	  0.003	  0.220	 -0.139	  0.295	 -0.006	 -0.026	  0.613	 -4.309	 -4.276	 -4.393	 -4.109	 -3.877	 -3.807	 -3.633	 -3.801	 -3.957	 -0.067	 -0.069	 -0.011	  0.045	  0.006	 -0.017	  0.006	  0.043	 -0.041	  0.418	  0.485	  0.411	  0.215	  0.441	  0.394	  0.450	  0.481	  0.361	 -0.049
          0.015	  0.218	 -0.364	  0.006	  0.182	 -0.147	  0.314	 -0.012	 -0.081	  0.656	 -4.811	 -4.853	 -4.888	 -4.516	 -4.402	 -4.291	 -4.171	 -4.372	 -4.416	 -0.024	 -0.030	 -0.007	  0.023	  0.002	 -0.006	  0.003	  0.014	 -0.017	  0.141	  0.169	  0.138	  0.004	  0.154	  0.128	  0.155	  0.166	  0.110	 -0.051
          0.016	  0.264	 -0.320	  0.012	  0.157	 -0.149	  0.327	 -0.015	 -0.114	  0.687	 -5.132	 -5.221	 -5.203	 -4.709	 -4.736	 -4.592	 -4.514	 -4.738	 -4.700	  0.003	 -0.004	 -0.003	  0.006	 -0.001	  0.001	  0.003	 -0.005	  0.000	 -0.047	 -0.046	 -0.045	 -0.114	 -0.040	 -0.048	 -0.044	 -0.046	 -0.055	 -0.053
          0.018	  0.275	 -0.309	  0.012	  0.142	 -0.146	  0.332	 -0.013	 -0.119	  0.694	 -5.244	 -5.344	 -5.309	 -4.577	 -4.848	 -4.682	 -4.633	 -4.856	 -4.773	  0.014	  0.009	 -0.001	 -0.003	 -0.001	  0.005	  0.003	 -0.012	  0.008	 -0.138	 -0.149	 -0.131	 -0.135	 -0.134	 -0.129	 -0.138	 -0.145	 -0.129	 -0.054
          0.019	  0.239	 -0.337	  0.017	  0.152	 -0.146	  0.322	 -0.007	 -0.094	  0.680	 -5.120	 -5.188	 -5.176	 -4.279	 -4.717	 -4.536	 -4.498	 -4.695	 -4.627	  0.008	  0.007	  0.002	 -0.002	 -0.000	  0.004	  0.005	 -0.007	  0.006	 -0.130	 -0.137	 -0.119	 -0.047	 -0.125	 -0.114	 -0.129	 -0.129	 -0.111	 -0.056
          0.020	  0.178	 -0.376	  0.026	  0.173	 -0.144	  0.302	 -0.004	 -0.057	  0.652	 -4.842	 -4.861	 -4.890	 -3.812	 -4.427	 -4.249	 -4.205	 -4.365	 -4.347	 -0.017	 -0.009	  0.006	  0.007	  0.001	 -0.003	  0.007	  0.010	 -0.007	 -0.024	 -0.008	 -0.009	  0.159	 -0.013	  0.001	 -0.016	  0.001	  0.001	 -0.057
          0.021	  0.086	 -0.446	  0.035	  0.208	 -0.140	  0.277	  0.008	 -0.001	  0.606	 -4.415	 -4.344	 -4.449	 -3.109	 -3.967	 -3.792	 -3.745	 -3.849	 -3.911	 -0.060	 -0.039	  0.012	  0.025	  0.004	 -0.016	  0.010	  0.037	 -0.029	  0.177	  0.233	  0.199	  0.476	  0.201	  0.213	  0.199	  0.243	  0.204	 -0.058
          0.022	 -0.047	 -0.548	  0.048	  0.266	 -0.129	  0.245	  0.024	  0.081	  0.546	 -3.750	 -3.555	 -3.763	 -2.189	 -3.257	 -3.097	 -3.031	 -3.059	 -3.242	 -0.117	 -0.082	  0.019	  0.048	  0.007	 -0.031	  0.015	  0.073	 -0.057	  0.462	  0.572	  0.492	  0.869	  0.503	  0.509	  0.504	  0.581	  0.488	 -0.059
          0.024	 -0.191	 -0.666	  0.056	  0.323	 -0.119	  0.211	  0.037	  0.175	  0.476	 -2.961	 -2.637	 -2.966	 -1.262	 -2.430	 -2.300	 -2.185	 -2.139	 -2.477	 -0.181	 -0.133	  0.025	  0.073	  0.011	 -0.048	  0.020	  0.111	 -0.087	  0.799	  0.968	  0.837	  1.272	  0.860	  0.853	  0.867	  0.977	  0.818	 -0.059
